comp/sec | comp   | block/s| blocks| f/sec| f  | secs   | i | r | comments (i=block size, r= search range)
 7521.903 |  128304 |  92.863 |   1584 |   0.64 |  11 | 17.057 |  8 |  4 |
 7321.086 |  128304 |  90.384 |   1584 |   0.63 |  11 | 17.525 |  8 |  4 |
 9365.859 |  128304 | 115.628 |   1584 |   0.80 |  11 | 13.699 |  8 |  4 |
 8225.897 |   39600 | 329.036 |   1584 |   2.28 |  11 |  4.814 |  8 |  2 |
 8175.027 |   39600 | 327.001 |   1584 |   2.27 |  11 |  4.844 |  8 |  2 |
 8375.428 |   39600 | 335.017 |   1584 |   2.33 |  11 |  4.728 |  8 |  2 |
 8325.720 |   39600 | 333.029 |   1584 |   2.31 |  11 |  4.756 |  8 |  2 |
 4194.021 |  457776 |  14.512 |   1584 |   0.23 |  25 | 109.150 |  8 |  8 |
 4192.249 |  457776 |  14.506 |   1584 |   0.23 |  25 | 109.196 |  8 |  8 |
 3260.557 |   39600 | 130.422 |   1584 |   2.06 |  25 | 12.145 |  8 |  2 |
 3411.976 |   39600 | 136.479 |   1584 |   2.15 |  25 | 11.606 |  8 |  2 |
 3112.271 |   39600 | 124.491 |   1584 |   1.96 |  25 | 12.724 |  8 |  2 |
