Metric,0,1,2,3,4,5,6,7,8,9
I,28468,21730,16094,11663,15972,4671,2863,1798,1140,848
P,25003,18599,13108,8789,13209,2714,1474,981,823,797
C,25927,19434,13904,9556,14130,3236,1844,1199,908,811
