Block Size,QP,I_Period,PSNR,Bit Count,Total Bit Count,Elapsed Time (s)
16,1,10,34.59568223517063,1622416,1,26.708740949630737
16,1,10,45.41860309740127,1628360,1,26.708740949630737
16,1,10,45.05709442130589,1628360,1,26.708740949630737
16,1,10,44.825797952055254,1628360,1,26.708740949630737
16,1,10,44.7396149287901,1628360,1,26.708740949630737
16,1,10,44.633609727643666,1628360,1,26.708740949630737
16,1,10,44.493804103108694,1628360,1,26.708740949630737
16,1,10,44.45781588077028,1628360,1,26.708740949630737
16,1,10,44.40306992739994,1628360,1,26.708740949630737
16,1,10,44.32548651645476,1628360,1,26.708740949630737
16,4,10,30.33018302174113,1622416,4,23.384825229644775
16,4,10,35.11639296094296,1628360,4,23.384825229644775
16,4,10,35.00955517882144,1628360,4,23.384825229644775
16,4,10,34.274275123180196,1628360,4,23.384825229644775
16,4,10,33.84069159474975,1628360,4,23.384825229644775
16,4,10,33.78628684072077,1628360,4,23.384825229644775
16,4,10,33.345630557464624,1628360,4,23.384825229644775
16,4,10,33.054078882848174,1628360,4,23.384825229644775
16,4,10,33.05192187439318,1628360,4,23.384825229644775
16,4,10,32.69393392192956,1628360,4,23.384825229644775
16,7,10,24.252175685087902,1622416,7,26.31738781929016
16,7,10,25.719087541962068,1628360,7,26.31738781929016
16,7,10,25.507091527886132,1628360,7,26.31738781929016
16,7,10,24.838451834734002,1628360,7,26.31738781929016
16,7,10,24.527194621256232,1628360,7,26.31738781929016
16,7,10,24.303962383773097,1628360,7,26.31738781929016
16,7,10,23.944824958650443,1628360,7,26.31738781929016
16,7,10,23.63773142234523,1628360,7,26.31738781929016
16,7,10,23.520772097768422,1628360,7,26.31738781929016
16,7,10,23.269606493500014,1628360,7,26.31738781929016
16,10,10,10.951980240288766,1622416,10,26.505170822143555
16,10,10,17.44393666548457,1628360,10,26.505170822143555
16,10,10,17.742066469977374,1628360,10,26.505170822143555
16,10,10,17.25380399140168,1628360,10,26.505170822143555
16,10,10,17.68303467889799,1628360,10,26.505170822143555
16,10,10,17.68353219901695,1628360,10,26.505170822143555
16,10,10,17.087477737369174,1628360,10,26.505170822143555
16,10,10,17.66017904881224,1628360,10,26.505170822143555
16,10,10,17.726677285415946,1628360,10,26.505170822143555
16,10,10,16.939952595589446,1628360,10,26.505170822143555
